"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order"
"1","query_1",TRUE,1.08833123650139e-13,6453,280,153,0.546428571428571,0.0237099023709902,"GO:0032502","GO:BP","developmental process",21031,7884
"2","query_1",TRUE,1.44773565914056e-12,5899,280,142,0.507142857142857,0.0240718765892524,"GO:0048856","GO:BP","anatomical structure development",21031,13525
"3","query_1",TRUE,1.60757778806475e-12,7669,280,168,0.6,0.0219063763202504,"GO:0032501","GO:BP","multicellular organismal process",21031,7883
"4","query_1",TRUE,3.00694947375798e-12,3039,280,93,0.332142857142857,0.0306021717670286,"GO:0048513","GO:BP","animal organ development",21031,13223
"5","query_1",TRUE,3.63882045365007e-12,4643,280,121,0.432142857142857,0.0260607365927202,"GO:0007275","GO:BP","multicellular organism development",21031,2835
"6","query_1",TRUE,7.07788819600184e-12,3973,280,109,0.389285714285714,0.0274351875157312,"GO:0048731","GO:BP","system development",21031,13413
"7","query_1",TRUE,3.69757774329145e-09,1512,287,57,0.198606271777003,0.0376984126984127,"GO:0007155","GO:BP","cell adhesion",21031,2750
"8","query_1",TRUE,1.79224581052065e-08,1091,287,46,0.160278745644599,0.0421631530705774,"GO:0035295","GO:BP","tube development",21031,9257
"9","query_1",TRUE,4.33287526949873e-07,2010,279,62,0.222222222222222,0.0308457711442786,"GO:0009888","GO:BP","tissue development",21031,3786
"10","query_1",TRUE,6.30140115734518e-07,2684,288,76,0.263888888888889,0.0283159463487332,"GO:0009653","GO:BP","anatomical structure morphogenesis",21031,3608
"11","query_1",TRUE,7.53495047040577e-07,4366,283,104,0.367491166077739,0.0238204306000916,"GO:0030154","GO:BP","cell differentiation",21031,6924
"12","query_1",TRUE,7.63757280852312e-07,4367,283,104,0.367491166077739,0.0238149759560339,"GO:0048869","GO:BP","cellular developmental process",21031,13537
"13","query_1",TRUE,1.02591176291812e-06,213,276,18,0.0652173913043478,0.0845070422535211,"GO:0051216","GO:BP","cartilage development",21031,14018
"14","query_1",TRUE,2.11459504463957e-06,2455,280,69,0.246428571428571,0.0281059063136456,"GO:0050793","GO:BP","regulation of developmental process",21031,13690
"15","query_1",TRUE,5.70487326345139e-06,423,279,24,0.0860215053763441,0.0567375886524823,"GO:0001503","GO:BP","ossification",21031,325
"16","query_1",TRUE,6.58141124896375e-06,611,278,29,0.10431654676259,0.0474631751227496,"GO:0048729","GO:BP","tissue morphogenesis",21031,13411
"17","query_1",TRUE,1.26616301578158e-05,2955,216,63,0.291666666666667,0.0213197969543147,"GO:0051239","GO:BP","regulation of multicellular organismal process",21031,14037
"18","query_1",TRUE,1.31866772112223e-05,8976,233,143,0.613733905579399,0.0159313725490196,"GO:0050896","GO:BP","response to stimulus",21031,13774
"19","query_1",TRUE,1.63152953926336e-05,7394,241,128,0.531120331950207,0.0173113335136597,"GO:0051716","GO:BP","cellular response to stimulus",21031,14364
"20","query_1",TRUE,2.47468450071077e-05,291,276,19,0.0688405797101449,0.0652920962199313,"GO:0061448","GO:BP","connective tissue development",21031,15973
"21","query_1",TRUE,4.01102237326381e-05,1678,287,52,0.181184668989547,0.0309892729439809,"GO:0009719","GO:BP","response to endogenous stimulus",21031,3654
"22","query_1",TRUE,4.06374816486192e-05,1411,210,38,0.180952380952381,0.0269312544294826,"GO:2000026","GO:BP","regulation of multicellular organismal development",21031,26054
"23","query_1",TRUE,5.41245687300555e-05,1130,230,35,0.152173913043478,0.0309734513274336,"GO:0072359","GO:BP","circulatory system development",21031,17886
"24","query_1",TRUE,8.20527388424486e-05,1035,278,37,0.133093525179856,0.0357487922705314,"GO:0009887","GO:BP","animal organ morphogenesis",21031,3785
"25","query_1",TRUE,8.55359536567609e-05,872,287,34,0.118466898954704,0.0389908256880734,"GO:0035239","GO:BP","tube morphogenesis",21031,9225
"26","query_1",TRUE,0.000100585918086785,535,276,25,0.0905797101449275,0.0467289719626168,"GO:0001501","GO:BP","skeletal system development",21031,323
"27","query_1",TRUE,0.000145404263115742,1110,102,21,0.205882352941176,0.0189189189189189,"GO:0051241","GO:BP","negative regulation of multicellular organismal process",21031,14039
"28","query_1",TRUE,0.000189153976942475,1663,278,49,0.176258992805755,0.0294648226097414,"GO:1901700","GO:BP","response to oxygen-containing compound",21031,22187
"29","query_1",TRUE,0.000189199164949503,6537,241,114,0.473029045643154,0.0174391922900413,"GO:0007154","GO:BP","cell communication",21031,2749
"30","query_1",TRUE,0.000206299256672604,928,280,34,0.121428571428571,0.0366379310344828,"GO:0051093","GO:BP","negative regulation of developmental process",21031,13927
"31","query_1",TRUE,0.000466841862283883,345,200,16,0.08,0.0463768115942029,"GO:0042063","GO:BP","gliogenesis",21031,10292
"32","query_1",TRUE,0.000524723505299419,18,168,5,0.0297619047619048,0.277777777777778,"GO:0072087","GO:BP","renal vesicle development",21031,17633
"33","query_1",TRUE,0.000676551160219423,1328,287,42,0.146341463414634,0.0316265060240964,"GO:0051094","GO:BP","positive regulation of developmental process",21031,13928
"34","query_1",TRUE,0.000691511774566166,134,287,12,0.0418118466898955,0.0895522388059701,"GO:0048565","GO:BP","digestive tract development",21031,13262
"35","query_1",TRUE,0.000695240177074226,6447,241,111,0.46058091286307,0.0172173103769195,"GO:0023052","GO:BP","signaling",21031,6877
"36","query_1",TRUE,0.000756543672364483,1432,287,44,0.153310104529617,0.0307262569832402,"GO:0071495","GO:BP","cellular response to endogenous stimulus",21031,17229
"37","query_1",TRUE,0.000772813838582595,1637,278,47,0.169064748201439,0.0287110568112401,"GO:0051240","GO:BP","positive regulation of multicellular organismal process",21031,14038
"38","query_1",TRUE,0.000836991519270584,92,278,10,0.0359712230215827,0.108695652173913,"GO:2000027","GO:BP","regulation of animal organ morphogenesis",21031,26055
"39","query_1",TRUE,0.000931785876899685,920,287,33,0.114982578397213,0.0358695652173913,"GO:0033993","GO:BP","response to lipid",21031,8654
"40","query_1",TRUE,0.000986911565737354,1496,287,45,0.156794425087108,0.0300802139037433,"GO:0016477","GO:BP","cell migration",21031,5292
"41","query_1",TRUE,0.00104249517734081,37,278,7,0.0251798561151079,0.189189189189189,"GO:1905332","GO:BP","positive regulation of morphogenesis of an epithelium",21031,25194
