"","ensembl","tissue_r5_TMM","nCPM_5_TMM","nCPM_muscle_TMM","nCPM_ratio_TMM","tissue_r5_DESq","nCPM_5_DESq","nCPM_muscle_DESq","nCPM_ratio_DESq"
"1","ENSG00000143369.14","male_brain",6.16315598769496,1.81767552097754,3.39067997371744,"male_brain",7.24746727602728,1.4088838018792,5.14411995251876
"2","ENSG00000213672.7","male_brain",15.8226739523691,3.67847332620297,4.30142413692632,"male_liver",15.9670872055571,3.7793684499569,4.22480301060332
"3","ENSG00000120756.12","male_brain",2.42726076216087,0.469574277954232,5.16906669746814,"male_lung",2.36093254489226,0.412962032921582,5.71706926225003
"4","ENSG00000164251.4","male_brain",1.4224753189381,0.241027065184183,5.90172443020498,"male_brain",1.64203438324055,0.256784834629811,6.3945925218199
"5","ENSG00000204310.12","male_brain",10.0191391686561,1.67106341812742,5.99566662759183,"male_liver",7.6985963267281,1.74487012112571,4.41213144377836
"6","ENSG00000178401.15","male_brain",1.08276712205451,0.0440882444259744,24.5590890758309,"male_brain",1.41668762938911,0.0487882380762719,29.0374829108271
"7","ENSG00000139725.7","male_brain",3.26061032998695,0.28181293964903,11.5701228412284,"male_placenta",3.81243418553568,0.298192379780184,12.7851496015628
"8","ENSG00000167962.13","male_brain",17.9426602369451,5.81199053702615,3.08717987798478,"male_lung",18.5655710951424,5.57686502319007,3.32903360901544
"9","ENSG00000127774.6","male_brain",4.57377614134958,1.36943625871162,3.3398970651271,"male_brain",5.49353781617786,1.40239358379013,3.9172582359732
"10","ENSG00000108961.13","male_brain",6.36299785905622,1.02256341993854,6.22259483860538,"male_brain",7.80950434173346,1.0582895783387,7.37936430782281
"11","ENSG00000188522.14","male_brain",1.1907319224303,0.383970531633035,3.10110236159554,"male_brain",1.55050386628684,0.393851114329382,3.93677663938291
"12","ENSG00000176890.15","male_brain",16.1829941310252,4.64798394731093,3.48172332660224,"male_placenta",18.9224160695613,4.86132509820278,3.89243995974613
"13","ENSG00000166510.13","male_brain",1.62330861899491,0.517736515628882,3.13539526379189,"male_brain",2.11169129377671,0.437690450616812,4.82462272320729
"14","ENSG00000113645.14","male_heart",4.75904347755119,1.03753202316907,4.58688828033955,"male_heart",5.47803783983102,1.15807406958207,4.73030005913867
"15","ENSG00000100632.10","male_heart",44.6688774949124,14.5008615954614,3.08042920076509,"male_heart",51.8512466275854,14.9941163490444,3.45810619449341
"16","ENSG00000171345.13","male_heart",8.05592569598239,0.0135952914882824,592.552627718625,"male_heart",9.33810089236159,0.0138025150501244,676.5506763405
"17","ENSG00000108774.14","male_heart",10.5569309383311,2.72343510819298,3.87632916480088,"male_heart",12.2886783586507,2.91633513321058,4.21374012153471
"18","ENSG00000131462.7","male_heart",24.1753373675516,7.49292106389655,3.22642360187626,"male_placenta",27.0991050483097,7.85403467751641,3.45034191482319
"19","ENSG00000141873.10","male_heart",7.3945853692448,1.57182238446076,4.7044662567149,"male_lung",7.74995107677037,1.67231233615588,4.63427250353548
"20","ENSG00000161179.13","male_heart",4.84141177103946,1.16928200846917,4.1404996707149,"male_heart",5.63572999197863,1.23376549172378,4.56791021452915
"21","ENSG00000100031.18","male_heart",1.94205306485724,0.532747114716594,3.64535632612549,"male_heart",2.25113288729036,0.577119293187691,3.90063703269446
"22","ENSG00000166900.16","male_liver",16.7726910627979,3.7941832164597,4.4206328756175,"male_liver",12.7281560930226,3.5742844453535,3.5610361423722
"23","ENSG00000185033.14","male_liver",29.0851521240634,6.12176863170183,4.75110280604934,"male_liver",22.3815806267208,5.83868241452163,3.83332728820027
"24","ENSG00000104964.14","male_liver",154.444567020112,41.3011915018624,3.73947001052373,"male_liver",116.462718343013,36.7242951699045,3.17127171002737
"25","ENSG00000164050.12","male_lung",57.6217084397662,14.6956017457456,3.92101728372217,"male_lung",48.6957610009574,13.413452463697,3.63036743394369
"26","ENSG00000176978.13","male_lung",27.6054813427885,7.29269738035145,3.78535950458678,"male_lung",22.9352707517351,6.69632640363745,3.42505268848255
"27","ENSG00000213983.11","male_lung",11.7540349780773,2.79124063344316,4.21104323190438,"male_lung",9.95283507132224,2.85930980839311,3.48085228194128
"28","ENSG00000137880.5","male_lung",1.41583828404352,0.196938820758208,7.18922901331789,"male_lung",1.17500328464753,0.207996596553539,5.64914668853767
"29","ENSG00000161243.8","male_lung",2.28587383266171,0.583440099064822,3.91792377028193,"male_lung",1.92456984157395,0.64066891711576,3.00400064707089
"30","ENSG00000228253.1","male_lung",13.9735423566707,1.83564567159816,7.61233094865469,"male_lung",12.0775841175097,1.88595884823217,6.40394891374793
"31","ENSG00000253368.3","male_placenta",2.83682373046818,0.234036513618154,12.1212869163512,"male_placenta",2.94850009540077,0.257743705431484,11.4396589839691
"32","ENSG00000127241.16","male_placenta",24.9760398189442,8.10629728543882,3.08106635366164,"male_placenta",25.5503372828974,6.70488724650853,3.81070349784068
"33","ENSG00000182325.10","male_placenta",2.61003054609799,0.519537634872085,5.02375645364094,"male_lung",2.21546493888132,0.547596521484096,4.04579805013547
"34","ENSG00000167702.12","male_placenta",3.54375014695996,1.04374995408917,3.39520987098143,"male_placenta",3.6913606761026,0.913654809212122,4.04021369874449
"35","ENSG00000167770.11","male_placenta",43.5195214642578,13.4515256984896,3.23528515944807,"male_placenta",44.5402136380036,13.6447151872104,3.26428313283904
"36","ENSG00000110200.8","male_placenta",11.3441980437953,2.35934224547903,4.80820367012588,"male_placenta",11.6900141276177,1.90644294099787,6.13184579313919
"37","ENSG00000103253.18","male_placenta",1.4194521564293,0.380282350028134,3.73262697131299,"male_placenta",1.4588911314314,0.402190678056953,3.62736187342664
"38","ENSG00000187531.13","male_placenta",11.0466861455682,3.27205038840332,3.37607458146716,"male_placenta",11.3117247591048,3.37329105020007,3.35332012292088
"39","ENSG00000105376.4","male_placenta",1.92397862365033,0.0679764574414121,28.3036023951171,"male_placenta",2.00024095038235,0.0690125752506219,28.9837169982195
