"","ensembl","tissue_r5_TMM","nCPM_5_TMM","nCPM_liver_TMM","nCPM_ratio_TMM","tissue_r5_DESq","nCPM_5_DESq","nCPM_liver_DESq","nCPM_ratio_DESq"
"1","ENSG00000048707.15","male_brain",130.333412183638,37.9041337607402,3.43850127287786,"male_muscle",146.180449561835,28.7982575956777,5.07601715403001
"2","ENSG00000162520.14","male_brain",2.7027379928461,0.478506646308971,5.64827680805283,"male_placenta",3.24088356782773,0.344374038683116,9.41094044202881
"3","ENSG00000171357.5","male_brain",1.0992694826786,0.150245133011102,7.3165064361677,"male_muscle",1.24777379304757,0.109097569550352,11.4372281453225
"4","ENSG00000116729.13","male_brain",59.8879225167371,7.69277711731805,7.78495484834948,"male_brain",69.6473624084431,5.81404676344242,11.9791541489436
"5","ENSG00000134245.17","male_brain",7.48253766072219,1.45930381467784,5.12747077439392,"male_brain",9.24603145041492,1.12600321305995,8.21137217298744
"6","ENSG00000183853.17","male_brain",49.5081594766853,10.2218639866278,4.84335924851394,"male_heart",59.6835524753128,7.67082378974823,7.78059229506453
"7","ENSG00000162733.17","male_brain",21.4698514253321,6.49134337019111,3.30745890348734,"male_brain",27.6374855640634,4.80602640332255,5.75058962326066
"8","ENSG00000116132.11","male_brain",6.84742872640025,0.0521798480428213,131.227456254394,"male_brain",8.64911579418605,0.0401966112277519,215.170272568019
"9","ENSG00000058085.14","male_brain",1.79371152605431,0.420628518460881,4.26436023077481,"male_brain",2.08513366531816,0.317640421290205,6.56444685738886
"10","ENSG00000162885.12","male_brain",5.60429478619056,1.79207466644582,3.12726634170072,"male_brain",7.12464732656766,1.42798797505805,4.98929084208712
"11","ENSG00000243244.6","male_brain",10.6657398971524,3.43100340644175,3.10863576443187,"male_muscle",12.4336140162715,2.59427443241763,4.79271346967117
"12","ENSG00000169604.19","male_brain",47.0224120933625,9.234337332585,5.0921263107246,"male_brain",57.5261260899559,6.86832679711992,8.37556624621854
"13","ENSG00000144036.15","male_brain",88.5514449905919,16.8535440464521,5.25417352851866,"male_muscle",78.6096961403214,12.4219335851428,6.32829789352136
"14","ENSG00000168874.12","male_brain",2.59843580989569,0.789018085885407,3.29325253296294,"male_placenta",2.80113440556316,0.591021291666437,4.73948137750691
"15","ENSG00000249715.11","male_brain",1.48480434123697,0.311433273857094,4.76764837246741,"male_brain",1.86604573203964,0.223840902854961,8.33648233293964
"16","ENSG00000170485.16","male_brain",12.2838279418831,3.46668052033044,3.54339774601215,"male_brain",14.7137927594412,2.63490991695942,5.58417297864222
"17","ENSG00000078098.13","male_brain",2.83946056738242,0.214656484558544,13.2279282092128,"male_heart",3.632524476973,0.162281631294138,22.3840766697063
"18","ENSG00000136546.14","male_brain",8.77490735326321,0.365355220279699,24.0174681137594,"male_brain",11.7781609738621,0.276650882034084,42.5740951457043
"19","ENSG00000115461.4","male_brain",96.5205504956968,11.2022655084552,8.61616343790864,"male_brain",112.567148125105,8.41208810196735,13.3815940537735
"20","ENSG00000114251.14","male_brain",15.050189900123,3.03714916200674,4.95536738478095,"male_heart",18.8812210685648,2.28848057855833,8.25054896487667
"21","ENSG00000144724.19","male_brain",87.7822680877736,21.6165197024967,4.0608881214877,"male_brain",112.193141963368,16.429698894292,6.82867913071408
"22","ENSG00000121440.14","male_brain",34.1979815390659,2.01820916080098,16.944716238179,"male_brain",41.1035479299311,1.51630345656586,27.1077321310227
"23","ENSG00000144810.15","male_brain",1.69307739754278,0.335993766968714,5.03901430320411,"male_brain",2.21288039104845,0.256773247431725,8.6180332771499
"24","ENSG00000091986.15","male_brain",18.9411508851969,6.20694365592612,3.0516067061625,"male_brain",24.5518405459602,4.6010652839695,5.336120883027
"25","ENSG00000114019.14","male_brain",55.451183382042,10.9397502780571,5.06877963140217,"male_brain",64.8414990425169,8.29293801306885,7.81888143144602
"26","ENSG00000134853.11","male_brain",55.0376150806219,12.7961939627177,4.3010925937022,"male_brain",67.7563121870872,9.54561960841016,7.09815758082279
"27","ENSG00000168769.13","male_brain",80.9518448670654,26.3515881089973,3.07199112752623,"male_brain",100.858441355493,19.6445193910973,5.1341770876411
"28","ENSG00000138685.15","male_brain",14.8582555065774,4.13055638058045,3.59715596098205,"male_placenta",16.7594707135315,3.15665077897293,5.3092571484846
"29","ENSG00000109452.12","male_brain",12.3614909351895,3.39457850558012,3.64153927059553,"male_brain",16.2497355653063,2.54070486167032,6.3957588346658
"30","ENSG00000112902.11","male_brain",69.1241037446598,21.3071495058669,3.24417415504719,"male_placenta",83.3379780484184,16.3126610428412,5.10879113037117
"31","ENSG00000131435.12","male_brain",4.9852610094502,0.763576714120351,6.52882797138894,"male_brain",5.55665106341421,0.577686529633058,9.6187997787377
"32","ENSG00000171992.12","male_brain",20.5507935532588,4.09021966078437,5.02437405753358,"male_brain",22.7565949758966,2.96816102207209,7.66690041634267
"33","ENSG00000135074.15","male_brain",27.9277119701721,8.95916463868541,3.11722276534366,"male_brain",33.9381160272802,6.7286933817166,5.04378994583077
"34","ENSG00000112276.13","male_brain",3.38790443405484,0.439974540760899,7.70022835456739,"male_brain",4.05533646619039,0.328116254760417,12.3594500648909
"35","ENSG00000152661.8","male_brain",70.9293926159748,6.05633461650884,11.7116039828166,"male_muscle",85.3926719914675,4.61568958102036,18.5005231596598
"36","ENSG00000196569.12","male_brain",33.9867788029375,9.58894793981293,3.54436993675039,"male_brain",44.6813755175822,7.26721710206033,6.14834741966283
"37","ENSG00000077782.20","male_brain",61.0113927884887,14.8891714958757,4.0977023339001,"male_brain",75.6312945921612,11.332969194472,6.67356394377677
"38","ENSG00000164932.12","male_brain",4.53790449634065,0.983425806654707,4.61438419211015,"male_brain",5.48256359632167,0.743195329761073,7.37701567377211
"39","ENSG00000170961.6","male_brain",5.87877814930344,0.195726398538169,30.0356936683582,"male_placenta",7.54867304063022,0.146008105347017,51.7003698026854
"40","ENSG00000156804.7","male_brain",25.2252715664932,0.963901208610327,26.1699760734411,"male_muscle",25.2098427924883,0.72705538663201,34.6738959039553
"41","ENSG00000173068.17","male_brain",6.05171754212857,0.833365278757708,7.26178267367921,"male_brain",8.01135828328772,0.624987638230105,12.8184267867681
"42","ENSG00000185585.19","male_brain",5.85399357130488,1.73675795525634,3.370644454852,"male_brain",7.25608949519649,1.31317539045347,5.52560575529122
"43","ENSG00000136859.9","male_brain",7.34754897217801,2.23383542258488,3.2892078341545,"male_brain",8.92989211121301,1.68192552113778,5.30932672046748
"44","ENSG00000167123.18","male_brain",28.1830570474361,4.25159181794718,6.62882474476204,"male_brain",32.759740313933,3.22885639125197,10.1459267134611
"45","ENSG00000204740.10","male_brain",1.3016069179025,0.315604023480897,4.12417720010874,"male_brain",1.68055267254804,0.245167581637195,6.854709996018
"46","ENSG00000197321.14","male_brain",46.7955994540503,14.3206900528797,3.26769166019624,"male_brain",59.4195475785946,10.7561055394901,5.52426223045515
