"","ensembl","tissue_r5_TMM","nCPM_5_TMM","nCPM_heart_TMM","nCPM_ratio_TMM","tissue_r5_DESq","nCPM_5_DESq","nCPM_heart_DESq","nCPM_ratio_DESq"
"1","ENSG00000164627.17","female_brain",1.36928927758533,0.413064521154064,3.31495252547874,"female_brain",1.51186120325531,0.455762345433325,3.3172139348587
"2","ENSG00000110195.12","female_brain",1.19794465983858,0.12030124621818,9.95787406612539,"female_liver",1.33883692082285,0.116553281773485,11.4869088235954
"3","ENSG00000245848.2","female_brain",3.31338791875567,0.525055758984387,6.3105448555878,"female_brain",3.96452849126425,0.573775024942179,6.909552209359
"4","ENSG00000151012.13","female_liver",2.8516883144369,0.593962997301263,4.80112115972521,"female_liver",2.20874168639448,0.67060585100033,3.29365108148064
"5","ENSG00000168528.11","female_lung",10.5471532299762,2.68681752361261,3.92551899683713,"female_lung",10.7196059943597,2.75716368210638,3.88791063219369
"6","ENSG00000180875.4","female_lung",9.05712041150047,1.19099611622725,7.60465990450998,"female_liver",7.89310010630305,1.43808028028907,5.48863663210544
"7","ENSG00000149269.9","female_lung",73.4521070631857,12.2082282001874,6.01660665730824,"female_liver",64.014301052671,12.5649887311163,5.09465646349082
"8","ENSG00000171004.18","female_lung",5.66914415314628,1.60413380820506,3.53408432896863,"female_lung",6.77566728578012,1.88616741762856,3.59229367576449
"9","ENSG00000163362.10","female_muscle",1.5746946029822,0.230733624798044,6.82472961780276,"female_muscle",1.47797114351992,0.277494605788132,5.32612567124406
"10","ENSG00000118242.15","female_muscle",1.53328540235195,0.444792165045537,3.44719516854569,"female_muscle",1.60833474311901,0.484331192422876,3.32073334998988
"11","ENSG00000180537.12","female_muscle",1.40186318587154,0.312376973151891,4.48772895046234,"female_muscle",1.36460413598885,0.336004574942483,4.06126653550013
"12","ENSG00000177106.15","female_muscle",2.38662597516636,0.576615838642261,4.13902257833582,"female_muscle",2.17537744034973,0.677070173956913,3.21292758716051
"13","ENSG00000254986.7","female_muscle",19.4831597412246,5.11734057935415,3.80728220822925,"female_muscle",19.0281689540312,5.5753446711241,3.41291347467398
"14","ENSG00000173599.13","female_muscle",20.8187255388258,4.94640522797377,4.20885968280321,"female_muscle",19.6772103209617,5.60780051640886,3.50889983753606
"15","ENSG00000162105.18","female_muscle",3.29909728758244,0.731179479219876,4.51202116763777,"female_muscle",3.00615101976284,0.89114353380708,3.37336344339522
"16","ENSG00000167703.14","female_muscle",4.0091971443223,0.983080698492523,4.07819739566659,"female_muscle",3.63088094095143,1.12553573690306,3.22591351114438
"17","ENSG00000089847.12","female_muscle",1.87350052240732,0.392206462926586,4.7768221574615,"female_muscle",1.55309504959629,0.438378310664763,3.54281909440537
"18","ENSG00000171509.15","female_placenta",1.75826988637079,0.140075580373608,12.5522941377873,"female_liver",1.60877760687052,0.150469140796475,10.6917444889684
"19","ENSG00000147255.18","female_placenta",1.85180687272193,0.368986976809835,5.01862393283408,"female_placenta",1.93124584513586,0.412804200397279,4.67835802852114
